,Tiếng Việt,Kon Tum,Gia Lai,Bình Định
0,váy,,"hơ be ̆n dro ̆  kăn, hơ be ̆n, abe ̆n dro ̆  kăm",abĕn
1,băo,,,abŭt
2,vịt,"hơra, ada, hơda, bip, ara",,ada
3,cẩn thận,brẽ,"pơ alâng, Alơ alâng","kheŭ kheŭ, adal adal"
4,khe khẽ,,,adal adal
5,thong thả,,,adal adal
6,xếp,"pük, kơchơ̆p, kơchôt, awa",Kơchâp,adon
7,đánh dấu,,,adral
8,đuổi đi,,Puh tơveh,"adrang, druh"
9,nòi,,,adrêch
10,nòi giống,,,adrêch
11,mạ,,,"adrih ba, hơnong ba"
12,cây mạ,,,adrih ba
13,quá,iĕl,,"hluôi, adrin"
14,lắm,,Dêh - Sư pơma dêh.,"dêh, adrin, tơpă"
15,cùng,"tơđuă, hngĕng",,"hơdrĭng, adrĭng, adơi"
16,với,,"hăm - Oh năm jang păng i ̆ nh, Păng, Amơn - Anho ̆ ng amơn hăm ti.","sơm, adrĭng, mơn"
17,bộ mặt,,,adrơ
18,khuôn mặt,,,adrơ
19,cùng,"tơđuă, hngĕng",,"hơdrĭng, adrĭng, adơi"
20,chúc,"thơthâu , tơthũi",,"adrơ̆i jul, bơne dih bơl"
21,chúc xuống,,,adrơ̆i jul
22,nữ thanh niên,,,adruh
23,chuồng gà,"dơdrang iĕr, tơdrang iẽr",,adrung yĕr
24,nhún,,,adrŭn
25,ngoài,hơgah,,"gloh, loi , gah agah, agah"
26,giỏi,rơgei,"Hơgẽi, juen, rơgẽi","hơgăi, agĕi, gơh hơgĕi"
27,xiêu,,Grê,"agreng, agrưch"
28,xiêu,,Grê,"agreng, agrưch"
29,bây giờ,"ahrai, dang ei",,ahrĕi ơ̆u
30,hiện nay,harei,Dang ẽi,ahrĕi ơ̆u
31,rủi,,,ai bĭ mah
32,không may,,,ai bĭ mah
33,họa,,đe`i tơdrong,ai brư̆
34,tai họa,,,ai brư̆
35,bẫy,hơkap,,"akap, bơdô"
36,thân,,,akău
37,mình,"dơh, lĭng",,"akău, bơ̆n"
38,thân thể,"akâu, jăn",,akău
39,trần,rơlă,,akău soh
40,gầy,,,akĕ
41,mảnh mai,,,akĕ akĕ blong blong
42,quắt,,,akĕ akoih
43,nói,"khan, diơ, pơma",,"khan, tơja, pơđam, akhan"
44,nói,"khan, diơ, pơma",,"khan, tơja, pơđam, akhan"
45,nói,"khan, diơ, pơma",,"khan, tơja, pơđam, akhan"
46,trả lời,"tơdrơng, drơ̆ng",,akhan ăn
47,thu hoạch,,,akŏm
48,gối,hơnơn kơ̆l,,"akơn, sơn"
49,gối lên,,,akơn
50,cúm,,,akuk
51,bệnh cúm,hơnơk,,akuk
52,chặt,"rẽi, pơrah, chơ̆ng, koh","kõh, tơkoh, Châng","al, koh"
53,dưới,"kơnơ̆m, ala",,ala
